I (29) boot: ESP-IDF v5.5.5 2nd stage bootloader
I (29) boot: compile time Sep  7 2026 16:56:27
I (29) boot: Multicore bootloader
I (31) boot: chip revision: v3.0
I (33) boot.esp32: SPI Speed      : 40MHz
I (37) boot.esp32: SPI Mode       : DIO
I (41) boot.esp32: SPI Flash Size : 2MB
I (44) boot: Enabling RNG early entropy source...
I (49) boot: Partition Table:
I (51) boot: ## Label            Usage          Type ST Offset   Length
I (58) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (64) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (71) boot:  2 factory          factory app      00 00 00010000 00100000
I (77) boot: End of partition table
I (81) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0a208h ( 41480) map
I (102) esp_image: segment 1: paddr=0001a230 vaddr=3ffb0000 size=02854h ( 10324) load
I (106) esp_image: segment 2: paddr=0001ca8c vaddr=40080000 size=0358ch ( 13708) load
I (112) esp_image: segment 3: paddr=00020020 vaddr=400d0020 size=11b00h ( 72448) map
I (138) esp_image: segment 4: paddr=00031b28 vaddr=4008358c size=0a994h ( 43412) load
I (156) esp_image: segment 5: paddr=0003c4c4 vaddr=50000000 size=00020h (    32) load
I (163) boot: Loaded app from partition at offset 0x10000
I (163) boot: Disabling RNG early entropy source...
W (184) spi_flash: Detected size(4096k) larger than the size in the binary image header(2048k). Using the size in the binary image header.

ESP32 treadmill UART sniffer
ESP-IDF target: ESP32
UART1 RX: GPIO26, 1200 8N2
UART2 RX: GPIO27, 1200 8N2
TX: disabled / not routed
Output: <timestamp_us> <source> <hex-byte>
Errors: <timestamp_us> <source> ERROR <reason>

000000158592 GPIO27 0E
000000159131 GPIO27 00
000000159240 GPIO27 00
000000159348 GPIO27 00
000000159457 GPIO27 4B
000000159569 GPIO27 43
000000224200 GPIO26 68
000000224316 GPIO26 08
000000224425 GPIO26 20
000000224533 GPIO26 00
000000224642 GPIO26 00
000000224750 GPIO26 00
000000225646 GPIO26 00
000000227729 GPIO26 14
000000229812 GPIO26 3C
000000231896 GPIO26 43
000000378404 GPIO27 68
000000378520 GPIO27 0C
000000378629 GPIO27 A0
000000378737 GPIO27 00
000000378846 GPIO27 00
000000378954 GPIO27 00
000000379850 GPIO27 00
000000381933 GPIO27 9F
000000384016 GPIO27 00
000000386100 GPIO27 00
000000388183 GPIO27 00
000000390266 GPIO27 00
000000392349 GPIO27 4B
000000394433 GPIO27 43
000000404199 GPIO26 68
000000404315 GPIO26 08
000000404423 GPIO26 20
000000404531 GPIO26 00
000000404849 GPIO26 00
000000406933 GPIO26 00
000000409016 GPIO26 00
000000411099 GPIO26 14
000000413183 GPIO26 3C
000000415266 GPIO26 43
000000584197 GPIO26 68
000000584313 GPIO26 08
000000584422 GPIO26 20
000000584530 GPIO26 00
000000584638 GPIO26 00
000000584747 GPIO26 00
000000585642 GPIO26 00
000000587725 GPIO26 14
000000589809 GPIO26 3C
000000591892 GPIO26 43
000000598402 GPIO27 68
000000598518 GPIO27 0C
000000598627 GPIO27 A0
000000600225 GPIO27 00
000000602309 GPIO27 00
000000604392 GPIO27 00
000000606475 GPIO27 00
000000608559 GPIO27 9F
000000610642 GPIO27 00
000000612725 GPIO27 00
000000614809 GPIO27 00
000000616892 GPIO27 00
000000618975 GPIO27 4B
000000621058 GPIO27 43
000000818400 GPIO27 68
000000818516 GPIO27 0C
000000818625 GPIO27 A0
000000818733 GPIO27 00
000000818842 GPIO27 00
000000818951 GPIO27 00
000000819845 GPIO27 00
000000821929 GPIO27 9F
000000824012 GPIO27 00
000000826095 GPIO27 00
000000828178 GPIO27 00
000000830262 GPIO27 00
000000832345 GPIO27 4B
000000834429 GPIO27 43
000001038397 GPIO27 68
000001038515 GPIO27 0C
000001038625 GPIO27 A0
000001038734 GPIO27 00
000001038844 GPIO27 00
000001038954 GPIO27 00
000001039844 GPIO27 00
000001041927 GPIO27 9F
000001044011 GPIO27 00
000001046094 GPIO27 00
000001048177 GPIO27 00
000001050261 GPIO27 00
000001052344 GPIO27 4B
000001054427 GPIO27 43
000001258395 GPIO27 68
000001258513 GPIO27 0C
000001258623 GPIO27 A0
000001258732 GPIO27 00
000001258842 GPIO27 00
000001258952 GPIO27 00
000001259842 GPIO27 00
000001261925 GPIO27 9F
000001264009 GPIO27 00
000001266092 GPIO27 00
000001268175 GPIO27 00
000001270258 GPIO27 00
000001272342 GPIO27 4B
000001274425 GPIO27 43
000001478393 GPIO27 68
000001478510 GPIO27 0C
000001478620 GPIO27 A0
000001478729 GPIO27 00
000001478839 GPIO27 00
000001478949 GPIO27 00
000001479840 GPIO27 00
000001481923 GPIO27 9F
000001484006 GPIO27 00
000001486089 GPIO27 00
000001488173 GPIO27 00
000001490256 GPIO27 00
000001492339 GPIO27 4B
000001494423 GPIO27 43
000001657530 GPIO26 68
000001657648 GPIO26 08
000001657758 GPIO26 20
000001657867 GPIO26 00
000001657977 GPIO26 00
000001658087 GPIO26 00
000001658977 GPIO26 00
000001661060 GPIO26 14
000001663153 GPIO26 3C
000001665227 GPIO26 43
000001667310 GPIO26 68
000001669394 GPIO26 08
000001671477 GPIO26 20
000001673560 GPIO26 00
000001675643 GPIO26 00
000001677727 GPIO26 00
000001679810 GPIO26 00
000001681893 GPIO26 14
000001683977 GPIO26 3C
000001686060 GPIO26 43
000001688143 GPIO26 68
000001690227 GPIO26 08
000001692310 GPIO26 20
000001694393 GPIO26 00
000001696477 GPIO26 00
000001698490 GPIO27 68
000001698577 GPIO26 00
000001700653 GPIO27 0C
000001702736 GPIO26 00
000001704819 GPIO27 A0
000001706903 GPIO26 14
000001708986 GPIO27 00
000001711069 GPIO26 3C
000001713159 GPIO27 00
000001715236 GPIO26 43
000001717319 GPIO27 00
000001719402 GPIO26 68
000001721486 GPIO27 00
000001723569 GPIO26 08
000001725652 GPIO27 9F
000001727736 GPIO26 20
000001729819 GPIO27 00
000001731902 GPIO26 00
000001733986 GPIO27 00
000001736069 GPIO26 00
000001738152 GPIO27 00
